gene_id,CK_1,CK_2,TR_1,TR_2,CKK_1,CKK_2,TRR_1,TRR_2
Os01g0810600,22,33,7,27,14,8,16,53
Os01g0810700,266,369,229,305,306,283,199,139
Os01g0810800,0,9,28,9,11,7,7,6
Os01g0810833,112,95,58,77,147,84,43,38
Os01g0810866,0,0,0,0,0,0,0,0
Os01g0811001,5,9,13,17,0,0,0,9
Os01g0811100,2917,4127,3766,4334,4454,4493,2644,3724
Os01g0811300,621,664,1380,1363,1248,1214,592,350
Os01g0811400,405,287,431,371,210,230,181,167
Os01g0812000,606,583,549,536,357,359,175,148
Os01g0812025,0,11,0,0,0,0,18,0
Os01g0812050,199,235,345,316,408,320,114,89
Os01g0812100,0,0,0,0,11,8,0,0
Os01g0812200,2083,2018,3746,3375,4127,4651,595,754
Os01g0812600,0,0,0,0,0,0,7,0
Os01g0812800,103,106,37,137,58,61,104,80
Os01g0812850,0,0,0,0,0,0,0,0
Os01g0812900,1886,1986,1113,1137,545,645,964,1485
Os01g0813000,237,216,447,350,638,542,413,628
Os01g0813100,242,164,129,86,111,158,187,257
Os01g0813300,0,0,0,0,0,0,0,0
Os01g0813350,0,0,0,0,0,0,0,0
Os01g0813400,7674,9888,7262,6963,6574,6635,5557,5845
Os01g0813500,2211,2235,2793,2450,2218,2515,1574,1346
Os01g0813700,10,11,22,0,41,58,59,8
Os01g0813800,238,394,6992,4904,7956,5760,1047,1314
Os01g0813900,5379,5541,10318,10410,8871,8206,3720,2793
Os01g0814000,255,398,692,578,815,952,748,617
Os01g0814100,0,0,4,0,4,0,0,3
Os01g0814150,0,0,0,0,0,8,1,0
Os01g0814200,26,22,40,53,87,108,27,30
Os01g0814300,25,78,27,85,108,88,104,70
Os01g0814400,4829,5054,6608,6388,8413,6395,4591,3916
Os01g0814550,0,0,0,2,0,0,0,0
Os01g0814700,859,689,905,926,2078,1588,1088,1137
Os01g0814800,8,22,78,218,272,219,103,88
Os01g0814900,765,1074,1156,1195,1487,1694,869,930
Os01g0815100,1048,880,717,743,405,287,307,342
Os01g0815400,3065,2846,2004,782,1152,1147,636,755
Os01g0815700,1475,1697,1364,2045,5193,5993,6989,6109
Os01g0815800,1024,1441,1198,2459,2318,2955,2569,2513
Os01g0815850,3,2,0,4,5,4,7,4
Os01g0815900,7,4,16,10,25,22,0,0
Os01g0816000,3,9,26,22,75,84,35,34
Os01g0816100,164,460,395,667,892,1434,129,335
Os01g0816400,6750,6187,11101,10659,7192,8689,4117,2119
Os01g0816450,2,2,5,5,5,6,0,0
Os01g0816500,0,0,0,0,0,0,0,0
Os01g0816525,0,0,0,0,0,0,0,0
Os01g0816550,41,80,128,21,138,117,55,89
Os01g0816600,32,38,35,22,33,37,15,3
Os01g0816700,0,0,0,0,0,0,0,0
Os01g0816850,0,0,0,0,0,0,0,0
Os01g0817000,3129,3352,2888,2848,470,535,467,542
Os01g0817100,1172,1411,1634,1725,425,745,726,449
Os01g0817400,0,0,0,0,22,3,0,0
Os01g0817633,29,144,262,223,372,313,105,283
Os01g0817650,29,0,0,0,37,0,0,0
Os01g0817700,2513,4267,2858,4916,14505,17702,17071,17522
Os01g0817800,822,1150,977,853,1545,1533,1321,1441
Os01g0817900,180,217,186,146,334,313,272,337
Os01g0818000,7441,8924,5551,6186,1772,2183,1950,1930
Os01g0818100,68,60,0,12,2,0,7,13
Os01g0818200,48,110,8,25,77,50,102,51
Os01g0818300,51,123,166,403,164,110,68,105
Os01g0818400,279,308,525,452,555,635,537,560
Os01g0818600,253,349,323,606,1590,1748,683,1004
Os01g0818650,0,1,0,0,0,4,0,0
Os01g0818700,49,95,75,189,591,719,97,27
Os01g0818800,0,0,0,0,0,0,0,0
Os01g0818900,1,1,0,0,0,0,0,0
Os01g0819000,2043,1915,2521,3208,2512,2352,1878,1231
Os01g0819100,5,4,11,22,29,14,12,0
Os01g0819200,0,0,0,10,11,0,0,0
Os01g0819233,36,20,38,45,50,24,42,76
Os01g0819266,0,0,0,0,0,0,0,0
Os01g0819300,91,52,77,87,94,49,23,5
Os01g0819400,0,10,0,15,34,0,23,0
Os01g0819433,0,0,0,0,0,0,0,0
Os01g0819466,4814,6067,4082,4153,3261,3770,2828,3152
Os01g0819500,2607,3272,2189,2060,1404,1793,1857,2795
Os01g0819700,1091,1896,537,635,1191,1378,756,605
Os01g0819800,71,105,34,122,90,67,118,33
Os01g0819900,6361,6133,6984,6359,6075,7025,3617,2219
Os01g0820000,91,189,0,50,0,0,0,0
Os01g0820050,41,23,0,0,0,0,0,0
Os01g0820400,0,0,0,0,0,0,0,0
Os01g0820700,0,0,0,0,0,0,0,0
Os01g0820750,0,0,0,4,0,0,0,0
Os01g0820800,974,909,595,745,788,1148,704,542
Os01g0821300,4,0,0,4,180,385,66,137
Os01g0821600,267,308,67,27,78,113,25,45
Os01g0821700,937,1364,1093,1379,973,1284,748,707
Os01g0821800,902,1505,1896,2096,1596,1659,1096,983
Os01g0821900,70,72,82,211,17,12,25,18
Os01g0822001,0,0,0,0,4,6,0,4
Os01g0822200,894,1175,857,1004,1946,1965,804,454
Os01g0822501,0,0,0,0,0,0,0,0
Os01g0822800,64,78,9,18,409,484,1188,361
Os01g0822900,0,0,0,0,0,0,0,11
Os01g0823100,170,174,9805,3539,365,269,98,400
Os01g0823150,0,0,3,0,0,4,0,0
Os01g0823200,405,319,300,212,115,137,98,98
Os01g0823300,813,1307,1061,1681,1914,2375,1750,2134
Os01g0823400,38,51,0,38,18,41,29,24
Os01g0823500,393,297,384,40,262,275,159,338
Os01g0823600,36545,31870,14236,24629,80,49,35,17
Os01g0823700,98,90,120,110,315,129,159,343
Os01g0823900,561,505,1834,2267,3593,3388,1162,1028
Os01g0823951,11,0,5,17,40,82,5,13
Os01g0824000,4,3,26,27,243,130,62,95
Os01g0824500,0,0,0,0,6,0,0,0
Os01g0824600,1111,909,484,616,410,523,179,105
Os01g0824700,213,321,162,290,69,61,32,11
Os01g0824800,171,243,162,345,305,406,202,34
Os01g0824900,0,0,0,0,0,4,4,12
Os01g0825000,0,6,0,0,22,6,13,0
Os01g0825166,0,0,0,0,0,0,0,0
Os01g0825332,0,0,0,0,0,0,0,0
Os01g0825500,2416,2943,991,1043,638,603,983,1244
Os01g0825700,1392,1590,1724,2007,1634,1934,1259,1002
Os01g0825800,518,288,5344,5145,21008,19622,6741,3104
Os01g0825900,226,228,192,323,441,549,214,100
Os01g0826000,472,558,89,163,13,29,45,45
Os01g0826400,824,1619,1873,1569,6280,5787,1433,251
Os01g0826800,183,252,82,102,216,245,76,210
Os01g0826900,14349,14027,31789,31333,6478,6775,2513,3315
Os01g0827200,829,899,1967,1705,964,837,452,295
Os01g0827300,7,24,0,0,0,8,0,4
Os01g0827400,364,349,297,408,684,730,638,741
Os01g0827500,3303,4091,3947,3784,2742,2848,1516,1148
Os01g0827600,367,484,313,393,395,418,141,106
Os01g0827700,32,29,18,23,25,21,5,4
Os01g0827800,6,0,402,312,798,660,80,15
Os01g0828100,1311,1290,1489,1394,1309,1614,849,227
Os01g0828200,4,15,5,21,28,4,0,0
Os01g0828300,102,54,204,218,76,124,9,3
Os01g0828400,3,0,2,6,0,0,0,0
Os01g0828900,0,0,0,0,0,0,0,4
Os01g0829000,166,394,393,737,323,387,753,358
Os01g0829100,284,361,407,383,146,88,63,84
Os01g0829183,0,0,0,0,0,0,0,0
Os01g0829266,0,0,0,0,7,0,0,0
Os01g0829400,143,234,238,204,159,112,158,108
Os01g0829500,0,0,0,0,0,0,0,0
Os01g0829600,102,95,0,0,0,0,5,2
Os01g0829700,0,0,0,0,0,0,5,2
Os01g0829800,40,254,53,134,52,75,79,94
Os01g0829900,0,0,0,0,7,0,0,0
Os01g0830000,33456,36839,19774,22896,5878,7097,5505,532
Os01g0830100,5421,5860,5557,5511,3090,2992,1229,626
Os01g0830200,2718,2136,2601,2261,3174,2900,1513,790
Os01g0830300,137,107,133,152,153,146,203,322
Os01g0830500,1138,1370,3769,3879,1100,1227,1071,1168
Os01g0830700,648,760,1873,2281,3153,4115,1719,1108
Os01g0830900,186,168,12,6,0,0,0,0
Os01g0831000,0,0,0,0,0,0,0,0
Os01g0831200,1792,1853,2309,2209,4181,3760,1780,1580
Os01g0831250,15,41,12,145,220,327,200,76
Os01g0831300,6,8,4,63,38,128,40,11
Os01g0831800,0,0,0,0,0,0,0,0
Os01g0831900,0,0,0,0,0,0,0,0
Os01g0831950,0,0,0,0,0,0,0,0
Os01g0832000,1665,1750,1954,2198,1454,1509,1526,1287
Os01g0832100,0,0,21,0,0,0,0,0
Os01g0832200,1991,2721,2048,2950,2225,2160,1566,1696
Os01g0832300,386,482,634,416,649,892,508,481
Os01g0832450,0,0,0,0,0,0,0,0
Os01g0832600,0,0,0,11,18,14,4,0
Os01g0832900,45,40,72,57,116,142,160,63
Os01g0833000,190,297,391,592,1372,1358,2357,1763
Os01g0833100,1659,1825,1380,1454,1597,1451,817,779
Os01g0833150,14378,12517,9445,8911,2279,2046,1831,1675
Os01g0833200,12761,11525,7572,7810,2336,2300,2140,3401
Os01g0833400,560,988,406,440,415,461,371,753
Os01g0833500,20,7,10,19,46,15,7,7
Os01g0833600,864,855,1130,1766,112,257,99,40
Os01g0833700,1803,2177,3125,2855,2745,3658,2160,1610
Os01g0833750,0,19,11,12,11,6,10,0
Os01g0833800,6655,7290,10267,8746,6824,5523,2929,2491
Os01g0834100,25,7,8,11,12,16,46,61
Os01g0834125,5,3,0,6,8,10,0,0
Os01g0834150,0,0,0,0,0,0,0,0
Os01g0834200,1968,2235,2986,3102,2889,4049,2085,1340
Os01g0834250,198,236,160,115,95,126,59,52
Os01g0834400,713,722,788,832,512,530,325,336
Os01g0834500,1176,1698,1840,3736,3008,3374,2244,2601
Os01g0834600,260,405,343,836,709,764,673,940
Os01g0834700,850,959,1419,1650,610,842,856,579
Os01g0834800,0,0,0,0,0,2,0,0
Os01g0834900,239,200,64,78,23,26,51,305
Os01g0835000,345,333,805,492,1688,1500,699,412
Os01g0835083,5,24,44,13,62,126,24,7
Os01g0835166,0,0,0,0,0,0,0,0
Os01g0835332,0,0,0,0,0,0,0,0
Os01g0835500,5095,6412,7235,3096,2752,2819,3049,2324
Os01g0835600,2831,2763,3325,4080,4886,4686,3141,3401
Os01g0835651,0,0,0,0,0,0,0,0
Os01g0835700,336,458,21,54,8,65,276,317
Os01g0835800,170,147,346,263,209,254,244,150
Os01g0835900,2014,2741,677,706,1963,1463,1451,2617
Os01g0836400,1737,1617,2325,2392,1937,2073,1066,725
Os01g0836600,167,140,0,0,35,131,8,15
Os01g0836700,7,6,0,8,0,0,2,0
Os01g0836800,2454,3695,3750,5326,7677,10513,5187,2547
Os01g0836900,0,0,6,20,15,25,40,0
Os01g0837000,164,318,1928,1355,1485,1515,644,742
Os01g0837100,0,0,0,0,0,0,0,0
Os01g0837200,72,35,0,0,20,15,10,24
Os01g0837300,2508,2321,2732,2345,3089,3255,1556,1091
Os01g0837350,46,28,0,27,8,27,9,5
Os01g0837500,826,1049,1839,2013,2734,3084,1357,1465
Os01g0837600,3280,3429,6739,7077,705,1140,437,1420
Os01g0837700,25,8,2,5,0,0,8,0
Os01g0837800,19282,19977,15443,23203,2898,3226,3619,3972
Os01g0837900,3462,3756,4710,4641,3629,3992,2918,2738
Os01g0838100,1913,1375,1549,1191,1298,1746,2211,1103
Os01g0838200,0,0,0,0,0,0,0,0
Os01g0838300,4,31,5,13,1,6,7,16
Os01g0838350,540,308,162,126,6,19,51,204
Os01g0838400,200,126,185,133,68,117,132,126
Os01g0838600,80,79,9,104,35,31,11,81
Os01g0838800,434,641,622,695,481,516,327,363
Os01g0838900,119,207,255,246,225,321,82,110
Os01g0839100,32,107,0,52,0,9,11,11
Os01g0839200,415,90,4,0,475,230,32,185
Os01g0839300,115,161,261,465,284,419,377,400
Os01g0839400,0,0,5,0,16,11,2,0
Os01g0839500,1307,2485,1209,1586,4165,3971,2077,3020
Os01g0839700,3132,3115,3269,3315,2970,2864,1642,2001
Os01g0839801,1388,1257,1087,1159,1080,996,577,936
Os01g0839900,14,4,4,100,58,66,0,0
Os01g0840100,1267,1584,1279,2251,61,214,564,1357
Os01g0840200,7429,7235,4555,5151,1361,1461,1217,1068
Os01g0840300,0,0,0,0,5,12,0,0
Os01g0840700,101,154,151,196,304,269,325,411
Os01g0840900,88,107,669,621,310,325,53,38
Os01g0841000,659,546,1573,1119,2484,2551,254,329
Os01g0841050,0,0,0,0,4,3,0,0
Os01g0841100,23,56,64,47,223,236,139,113
Os01g0841200,1391,1227,1599,1410,1498,1274,976,828
Os01g0841400,0,0,0,6,3,0,0,3
Os01g0841450,0,0,0,0,0,0,0,0
Os01g0841500,1506,1907,1698,2034,1124,1050,1026,549
Os01g0841600,638,858,583,725,1962,1119,1431,1823
Os01g0841650,0,0,0,0,0,0,6,5
Os01g0841700,99,227,47,293,704,1174,404,145
Os01g0841800,2121,2304,3115,3485,3395,3368,1411,544
Os01g0842200,33756,27598,14533,14541,3298,2751,1476,7093
Os01g0842400,0,4,0,0,25,11,8,0
Os01g0842500,0,0,0,0,0,12,0,0
Os01g0842600,64,66,44,66,11,14,28,32
Os01g0842801,4,0,30,29,31,55,10,12
Os01g0843300,12,19,18,22,32,12,11,0
Os01g0843366,0,0,0,0,0,0,0,0
Os01g0843432,7,0,37,0,7,5,0,4
Os01g0843500,555,761,583,507,676,777,523,437
Os01g0843700,0,4,33,0,0,12,0,0
Os01g0843800,0,0,0,0,2,28,0,0
Os01g0844000,464,428,765,707,1850,1457,1018,1843
Os01g0844200,0,0,0,0,0,0,0,0
Os01g0844300,33,85,47,84,19,12,0,11
Os01g0844400,510,564,508,574,527,693,227,201
Os01g0844500,444,722,406,276,1509,2403,780,716
Os01g0844700,13,12,0,0,2,5,7,8
Os01g0844800,1205,1491,2412,3051,6739,6884,2205,1865
Os01g0844850,0,1,0,0,0,6,0,0
Os01g0844900,241,103,9,44,106,80,15,13
Os01g0845000,104,193,84,155,368,430,25,21
Os01g0845100,96,56,31,62,180,231,43,76
Os01g0845950,0,0,5,0,0,0,0,6
Os01g0846000,1584,1290,736,734,1145,1194,781,498
Os01g0846150,186,55,12,25,5,9,3,20
Os01g0846300,14557,7670,1788,1723,427,710,718,3408
Os01g0846400,195,56,4,3,0,0,16,12
Os01g0846450,1335,737,852,773,587,816,528,402
Os01g0846500,44,49,110,78,252,677,73,152
Os01g0846525,0,0,0,0,0,0,0,0
Os01g0846550,0,0,0,0,0,0,0,0
Os01g0846600,405,384,390,371,329,479,174,187
Os01g0846700,4138,3215,3061,3175,114,104,37,60
Os01g0846800,1721,1718,1178,1104,51,39,46,55
Os01g0846900,1101,1224,1551,1344,1736,1762,1095,985
Os01g0847000,690,918,1153,1117,1060,1597,585,149
Os01g0847100,44,77,67,65,246,154,114,71
Os01g0847200,27570,26925,29301,37518,7917,7801,2279,4005
Os01g0847250,187,154,191,251,40,26,2,22
Os01g0847300,196,188,36,91,90,132,31,57
Os01g0847600,156,215,121,142,32,48,22,8
Os01g0847700,4195,4487,1637,2542,173,246,118,173
Os01g0847800,617,807,167,428,387,464,1165,1009
Os01g0847900,361,438,578,616,206,209,252,216
Os01g0848200,363,599,725,1230,169,88,258,165
Os01g0848250,12,0,13,26,0,0,0,3
Os01g0848300,218,136,307,248,408,472,467,417
Os01g0848400,293,365,176,225,255,220,233,186
Os01g0848475,90,161,5,46,74,4,131,170
Os01g0848550,0,3,0,0,21,14,4,5
Os01g0848700,139,99,88,77,68,102,306,335
Os01g0848766,0,0,0,0,0,0,5,0
Os01g0848900,399,370,589,472,1655,2243,3074,3326
Os01g0849000,205,51,16,12,710,641,2654,5279
Os01g0849050,0,0,0,0,0,0,0,1
Os01g0849100,0,0,0,0,7,0,0,0
Os01g0849500,250,144,64,80,104,36,74,109
Os01g0849600,0,0,0,0,0,0,0,0
Os01g0849950,162,198,67,46,11,12,19,7
Os01g0850000,2087,2213,291,380,49,157,150,152
Os01g0850050,10,43,16,15,8,6,10,2
Os01g0850100,536,799,534,685,1056,1279,600,418
Os01g0850200,141,150,190,182,1215,1210,1388,1171
Os01g0850400,3,4,7,30,13,47,53,20
Os01g0850550,12,2,0,120,6,14,7,14
Os01g0850700,253,61,1316,84,101410,54429,17532,48380
Os01g0850800,11,0,0,0,0,0,4,0
Os01g0850900,13003,12660,4471,4264,173,108,126,404
Os01g0851000,456,434,1913,2592,2353,2711,1140,1113
Os01g0851100,2940,2549,1189,921,1222,1059,601,1152
Os01g0851300,0,0,0,0,0,0,0,0
Os01g0851400,137,159,218,238,186,305,146,181
Os01g0851600,397,527,110,84,376,309,195,445
Os01g0851700,6503,9549,3430,3110,4822,6658,9219,6710
Os01g0852000,115,103,103,98,129,77,145,306
Os01g0852100,451,507,1049,1372,2179,2131,1200,1245
Os01g0852200,484,589,1308,1279,2227,1958,652,684
Os01g0852300,4,8,6,0,0,0,5,3
Os01g0852400,42,19,47,21,0,9,12,0
Os01g0852500,1133,1060,1351,1466,1452,1650,1250,1212
Os01g0852650,15,17,12,15,4,5,0,9
Os01g0852800,83,78,105,47,139,153,155,284
Os01g0852900,270,345,734,782,1039,1250,944,459
Os01g0853000,1455,2129,2827,2914,5162,5371,6952,6780
Os01g0853400,5484,5754,3733,4194,3144,3507,1722,1639
Os01g0853600,505,393,396,541,136,202,86,16
Os01g0853700,2102,2672,1099,738,850,1070,247,271
Os01g0853800,3073,3333,2452,2540,5481,5468,5327,4044
Os01g0854000,898,410,778,680,474,327,177,280
Os01g0854400,12,0,0,0,5,5,8,0
Os01g0854500,0,0,0,0,0,0,0,0
Os01g0854651,0,0,0,0,0,0,0,0
Os01g0854800,0,0,0,0,0,0,0,0
Os01g0855000,95,147,14,25,77,99,186,155
Os01g0855200,3663,6634,561,1353,5168,10600,19369,12732
Os01g0855400,0,0,0,0,0,0,0,0
Os01g0855600,2528,3266,5861,6966,9097,8392,2452,1498
Os01g0855700,66,35,369,292,238,344,28,0
Os01g0855900,151,124,92,106,102,100,53,90
Os01g0856000,216,249,176,251,109,128,297,68
Os01g0856500,2269,3131,3574,1890,2790,3015,2007,2130
Os01g0856550,51,41,55,24,50,64,22,17
Os01g0856600,167,203,366,318,415,512,408,404
Os01g0856800,2572,2815,1933,2020,1805,1978,1907,2015
Os01g0856850,0,0,0,0,0,0,0,0
Os01g0856900,6741,6517,3632,3880,425,475,378,200
Os01g0857000,1685,1797,3179,2915,1334,1561,1362,687
Os01g0857100,13,0,18,8,14,4,2,2
Os01g0857200,367,357,592,547,233,356,335,331
Os01g0857250,0,0,0,5,0,0,0,2
Os01g0857300,329,347,361,291,227,307,237,191
Os01g0857400,3746,4394,3144,3386,2331,2649,1911,1617
Os01g0857500,161,128,371,259,552,611,723,1230
Os01g0857600,136,93,41,28,136,217,57,32
Os01g0857650,29,35,22,0,77,58,0,0
Os01g0857700,1887,2033,2391,2663,3699,3276,2149,2927
Os01g0857900,1123,916,974,698,602,554,330,299
Os01g0857925,46,65,54,33,36,25,17,34
Os01g0857950,1649,1826,1776,2366,1821,1990,1384,655
Os01g0857975,0,0,0,0,0,0,0,0
Os01g0858000,40,57,11,33,24,30,16,35
Os01g0858200,59,26,0,0,0,0,8,0
Os01g0858350,533,540,69,178,412,497,228,232
Os01g0858500,1270,1450,1679,1548,1520,1520,1053,820
Os01g0858700,54,93,190,433,320,424,244,166
Os01g0858900,1112,1481,2881,3848,2145,3051,1185,586
Os01g0859100,11,43,12,47,34,59,10,21
Os01g0859200,6613,9344,18175,23154,5381,5229,6430,3874
Os01g0859300,0,0,0,0,0,4,0,0
Os01g0859400,316,464,522,639,788,823,524,515
Os01g0859500,325,562,261,713,491,522,485,474
Os01g0859600,1266,1414,1593,1666,2437,2568,1726,1494
Os01g0860050,0,0,0,0,0,0,0,0
Os01g0860300,289,329,452,749,696,994,603,714
Os01g0860400,160,343,5,7,61,69,29,41
Os01g0860450,749,1374,313,7444,6534,9639,9225,5826
Os01g0860500,0,0,0,0,0,0,0,0
Os01g0860601,0,0,0,0,0,0,0,0
Os01g0860700,2,0,0,8,1,19,13,18
Os01g0860800,282,467,735,907,5081,6189,4554,3672
Os01g0860900,7,0,0,0,0,7,0,41
Os01g0861000,87,135,116,267,347,520,313,319
Os01g0861400,0,0,0,0,17,15,0,4
Os01g0861700,19,52,9,5,1103,893,183,292
Os01g0861900,340,406,332,635,306,389,227,67
Os01g0862000,1200,943,1159,974,1242,1349,1001,904
Os01g0862200,2717,2327,2935,2471,3276,3261,6056,9970
Os01g0862300,1187,1187,1936,1936,2633,2462,1271,1301
Os01g0862400,14,11,0,0,32,19,61,86
Os01g0862500,16,26,16,7,74,107,161,78
Os01g0862600,76,43,96,160,133,155,255,316
Os01g0862800,93,328,24,38,847,1187,1064,2081
Os01g0862850,4,7,0,0,9,35,19,30
Os01g0863100,89,126,175,100,145,209,127,35
Os01g0863166,582,726,949,649,2275,2700,1801,1252
Os01g0863300,424,667,223,410,153,289,111,381
Os01g0863400,1790,1676,1922,1992,1236,1196,912,1406
Os01g0863500,0,0,0,0,0,0,0,0
Os01g0863800,0,0,0,0,7,34,6,11
Os01g0864000,0,0,0,0,0,0,0,0
Os01g0864100,0,0,0,0,0,0,0,0
Os01g0864200,44,245,116,213,209,424,185,33
Os01g0864300,0,0,0,0,27,60,7,3
Os01g0864401,217,238,232,276,504,356,240,279
Os01g0864500,163,523,120,435,183,266,49,58
Os01g0864566,0,3,0,0,0,0,0,0
Os01g0864700,159,125,114,43,212,361,207,258
Os01g0865100,515,1068,1588,1610,5844,4896,3667,3831
Os01g0865400,128,173,102,59,88,120,250,218
Os01g0865600,2399,2002,2425,2443,1628,1730,1277,689
Os01g0865700,114,133,4,8,11,10,91,64
Os01g0865800,0,0,0,0,0,0,0,0
Os01g0865900,0,0,0,0,0,0,0,0
Os01g0866000,0,0,0,0,0,0,0,0
Os01g0866100,1695,2184,1696,1898,2050,2438,1586,1377
Os01g0866133,4306,6076,4434,4792,5194,6471,4242,3115
Os01g0866200,368,1144,136,85,341,211,307,570
Os01g0866300,2416,2651,2242,2738,1899,2459,1587,2458
Os01g0866400,53355,57901,55891,46476,26589,20161,6476,14258
Os01g0866500,471,380,153,175,50,48,87,43
Os01g0866550,10,9,0,3,1,2,0,0
Os01g0866600,5278,4453,2551,2175,1702,1909,2531,4325
Os01g0866700,575,601,508,526,464,444,599,1007
Os01g0866750,0,0,0,0,0,0,0,0
Os01g0866800,2503,2432,2118,2220,1257,1327,989,1120
Os01g0867100,824,756,535,502,741,655,685,522
Os01g0867200,197,291,385,536,832,948,496,500
Os01g0867300,681,777,652,1343,2173,1785,1446,1440
Os01g0867400,63,96,86,69,226,209,105,76
Os01g0867450,0,0,0,0,0,0,0,0
Os01g0867600,850,794,823,860,1084,1011,502,359
Os01g0867700,622,901,1133,1185,1455,1663,1455,1322
Os01g0867800,2008,2495,3291,3379,3437,3438,2679,2801
Os01g0867900,1781,1841,2487,2186,4071,4744,2693,3168
Os01g0868000,111,203,214,366,2987,4301,1862,1239
Os01g0868200,869,899,992,927,1598,1712,1115,901
Os01g0868300,0,0,0,4,23,0,0,2
Os01g0868301,62,35,101,75,110,180,56,8
Os01g0868400,18,43,39,42,40,55,30,30
Os01g0868550,0,0,0,0,0,0,0,0
Os01g0868600,0,0,0,0,0,0,0,0
Os01g0868800,0,0,0,0,0,0,0,0
Os01g0868900,0,0,0,0,98,129,0,0
Os01g0869000,2897,3308,4669,6121,5101,5444,3457,2647
Os01g0869200,1545,2064,971,1499,386,583,413,266
Os01g0869300,15,51,0,5,0,6,0,0
Os01g0869400,182,169,0,125,0,0,0,0
Os01g0869450,111,165,0,40,0,0,0,0
Os01g0869500,240,354,453,366,342,514,186,321
Os01g0869550,33,39,59,55,52,67,12,10
Os01g0869600,1917,1955,2269,3017,2931,2831,1651,2223
Os01g0869750,89,93,103,50,152,159,174,346
Os01g0869800,191380,143971,149048,109655,26136,28326,52947,81624
Os01g0869900,3654,4713,4288,3383,6920,4981,897,1087
Os01g0870100,1196,1213,1691,2122,2552,2596,1282,631
Os01g0870201,87,127,138,175,201,139,135,104
Os01g0870300,1351,1139,858,669,392,399,395,170
Os01g0870350,19,13,0,0,0,5,0,0
Os01g0870400,247,189,7,7,0,0,7,4
Os01g0870500,525,471,753,555,643,719,668,608
Os01g0870750,0,0,0,21,0,0,0,0
Os01g0871000,0,0,0,16,0,0,0,0
Os01g0871100,1364,1332,1587,1483,1388,1499,645,744
Os01g0871150,1,7,5,0,2,3,5,17
Os01g0871200,89427,91228,106983,106516,42769,49451,27050,32244
Os01g0871300,606,726,633,940,1138,1104,511,337
Os01g0871350,120,162,210,175,237,254,335,620
Os01g0871400,21,7,4,1,3,3,17,17
Os01g0871500,17033,8439,1641,2282,3445,1863,9552,50493
Os01g0871600,45,25,0,0,14,0,52,7362
Os01g0871700,0,0,0,0,0,0,0,0
Os01g0871733,0,0,0,0,0,0,0,0
Os01g0871800,0,0,0,12,254,314,44,48
Os01g0871900,0,7,0,0,250,306,336,293
Os01g0872000,28,32,0,4,18,17,30,50
Os01g0872100,0,0,0,0,362,312,526,863
Os01g0872201,0,0,0,0,18,35,15,30
Os01g0872300,0,0,0,7,16,0,0,0
Os01g0872350,0,0,0,0,0,0,0,0
Os01g0872400,244,322,467,388,716,672,464,434
Os01g0872450,0,0,0,0,0,0,0,0
Os01g0872500,29,97,147,130,2621,2751,1772,1702
Os01g0872533,0,3,4,11,257,278,98,60
Os01g0872566,44,36,39,28,770,827,103,292
Os01g0872600,0,5,4,0,109,116,47,210
Os01g0872650,0,0,0,0,0,0,0,0
Os01g0872700,3210,3184,3328,3383,15945,16635,8906,4860
Os01g0872800,3873,4204,7883,7728,3740,4801,2987,1950
Os01g0872900,1188,780,795,458,0,22,43,28
Os01g0873000,1542,751,722,618,22,30,143,40
Os01g0873100,1679,1401,1187,2066,88,206,244,669
Os01g0873200,31328,26402,27686,47762,2172,3446,2919,3412
Os01g0873300,400,309,400,453,79,89,71,27
Os01g0873700,2375,2613,1984,2527,1617,1715,1247,1304
Os01g0873800,1804,1837,1800,1996,2936,2415,1074,593
Os01g0873900,2702,2658,1476,2008,3998,4888,2552,1489
Os01g0874100,3920,5230,2280,2615,1224,1473,1939,1020
Os01g0874300,1001,1438,1093,983,1685,1460,327,376
Os01g0874700,633,1009,1825,1249,4791,3942,1205,1013
Os01g0874800,370,546,1778,2012,1894,1953,2352,2078
Os01g0874900,4450,4172,4354,4861,4709,4656,3983,4150
Os01g0875000,0,11,0,6,61,46,155,138
Os01g0875150,0,0,0,0,0,0,0,0
Os01g0875300,16,0,3,0,87,72,8,28
Os01g0875400,689,972,1217,1170,999,1125,529,716
Os01g0875500,39,19,115,10,315,407,258,168
Os01g0875700,120,147,131,90,390,332,158,192
Os01g0875800,0,0,0,0,0,7,0,0
Os01g0876100,0,0,0,0,0,0,0,0
Os01g0876200,0,4,0,3,0,0,0,0
Os01g0876300,18,30,4,5,0,0,12,17
Os01g0876400,562,606,522,463,1265,1696,658,516
Os01g0876500,567,660,596,604,1190,1386,1006,643
Os01g0876650,68,69,87,39,58,35,36,16
Os01g0876800,51,75,28,28,105,259,216,91
Os01g0877001,0,0,0,0,0,0,0,0
Os01g0877300,1178,929,1540,1429,1585,1583,1047,984
Os01g0877400,6,7,0,0,0,5,0,0
Os01g0877450,45,5,6,29,6,21,5,8
Os01g0877500,579,838,990,1029,1192,843,315,246
Os01g0877600,2900,2550,2792,2251,4192,3853,2332,2250
Os01g0877900,0,0,0,12,27,16,6,0
Os01g0878000,170,106,20,28,626,599,1522,2646
Os01g0878101,13,41,33,90,60,144,169,169
Os01g0878200,13,37,33,93,139,0,58,81
Os01g0878300,11460,10446,2652,2862,1126,978,778,358
