gene_id,CK_1,CK_2,TR_1,TR_2,CKK_1,CKK_2,TRR_1,TRR_2
Os01g0113650,45,203,21,0,92,19,17,9
Os01g0113700,195,252,212,291,1115,1406,318,117
Os01g0113750,47,24,13,31,57,63,42,0
Os01g0113800,111,73,105,87,504,542,119,44
Os01g0113900,699,421,67,74,46,194,476,115
Os01g0113950,39,37,43,11,60,11,45,89
Os01g0114000,3,0,1,3,0,3,2,0
Os01g0114050,0,0,0,0,0,0,0,0
Os01g0114100,1169,1170,1200,1418,4031,4491,1689,756
Os01g0114150,45,19,62,63,456,280,83,0
Os01g0114200,72,19,122,76,101,110,40,24
Os01g0114300,1763,1268,1072,1529,1579,2214,1877,693
Os01g0114400,0,0,0,0,0,0,0,0
Os01g0114402,0,0,0,0,0,0,0,0
Os01g0114550,37,34,16,32,46,92,75,5
Os01g0114600,187,161,124,194,136,143,173,141
Os01g0114650,0,0,0,7,0,0,19,0
Os01g0114700,0,0,15,30,12,0,12,0
Os01g0114800,31,89,80,76,55,78,66,21
Os01g0114900,11,8,8,14,5,5,0,0
Os01g0115100,218,226,202,242,162,231,200,80
Os01g0115200,7,5,2,5,6,6,1,2
Os01g0115300,145,280,153,228,171,192,103,25
Os01g0115500,17,23,0,23,0,0,10,0
Os01g0115533,9,0,46,187,0,0,0,0
Os01g0115566,116,188,35,254,47,38,35,0
Os01g0115600,253,614,159,806,53,129,92,22
Os01g0115700,265,166,64,103,0,0,295,118
Os01g0115725,129,123,15,120,76,28,92,26
Os01g0115750,371,336,108,91,0,62,133,89
Os01g0115752,0,25,0,0,0,0,0,0
Os01g0115800,404,431,217,332,245,363,271,85
Os01g0115900,592,928,99,256,145,294,321,173
Os01g0115950,30,34,12,11,27,50,9,0
Os01g0116000,0,0,0,0,14,26,0,0
Os01g0116100,8,15,12,16,38,14,16,10
Os01g0116101,0,0,0,0,0,21,0,0
Os01g0116200,0,0,0,0,0,3,0,0
Os01g0116250,0,0,0,0,0,0,0,0
Os01g0116300,58,53,54,35,13,12,27,53
Os01g0116400,3107,2256,2283,2674,2506,2797,2842,1441
Os01g0116600,1916,2087,2175,2363,2997,3456,2257,1574
Os01g0116650,339,190,161,202,110,249,304,0
Os01g0116800,0,0,0,0,4,1,0,0
Os01g0116900,1745,1994,1164,2335,495,482,384,136
Os01g0116901,0,0,0,0,0,18,0,0
Os01g0117000,351,309,577,548,263,364,450,397
Os01g0117025,86,59,104,101,55,73,66,101
Os01g0117050,94,117,138,93,90,98,69,54
Os01g0117100,572,420,455,386,471,478,504,464
Os01g0117200,142,398,524,820,201,269,391,99
Os01g0117233,0,0,0,0,0,0,0,0
Os01g0117266,20,133,222,211,135,142,152,6
Os01g0117300,319,429,516,515,264,360,647,109
Os01g0117400,0,0,0,0,0,0,0,0
Os01g0117450,32,73,93,75,84,119,60,33
Os01g0117500,0,7,0,0,0,0,0,0
